X	col0_fb1	col0_fb2	col0_leaf1	col0_leaf2	d234_fb1	d234_fb2
AT1G01010	0.52	1.55	1.57	3.62	2.18	1.65
AT1G01020	4.7	9.02	7.3	10.06	9.71	10.88
AT1G01030	2.33	3.83	3.14	5.86	4.32	6.05
AT1G01040	2.13	3.01	1.68	1.39	3.42	2.9
AT1G01046	1.31	0	0	0	0.89	0
AT1G01050	53.26	72.89	49.96	46.38	93.19	109.94
AT1G01060	0.69	0.92	0.36	2.27	2.24	1.65
AT1G01070	0.61	0.9	1.75	1.57	1.93	3.11
AT1G01080	16.37	26.53	40.74	33.48	36.04	37.48
AT1G01090	83.39	106.61	66.37	55	120.35	137.82
AT1G01100	467.19	788.19	158.47	329.41	1238.28	1348.25
AT1G01110	3.71	6.6	0.91	0.08	10.2	8.9
AT1G01120	6.22	14.01	39.82	33.82	11.83	14.33
AT1G01130	5.19	10.4	0.5	1.59	11.65	10.25
AT1G01140	22.3	37.5	70.53	53.12	49.36	43.59
AT1G01150	0.31	0.22	0	0	1.26	2.03
AT1G01160	23.3	36.08	18.59	13.44	47.09	45.87
AT1G01170	164.32	263.28	337.53	254.23	426.45	471.85
AT1G01180	1.39	1.27	15.74	7.08	1.7	3.23
AT1G01183	6.06	0	0	0	0	0
AT1G01190	0	0	1.77	0.2	0.06	0.1
AT1G01200	0.53	0.56	0.13	0	0.35	0.51
AT1G01210	11.99	24.4	8.14	9.04	29.89	33.89
AT1G01220	2.85	4.47	5.23	3.66	3.3	3.93
AT1G01225	2.56	3.92	1.19	0.47	6.31	4.92
AT1G01230	18.11	25.46	30.72	30.97	32.45	47.85
AT1G01240	10.53	11.93	43.63	27.83	14.94	20.06
AT1G01250	4.55	9.83	4.39	1.94	8.05	10.87
AT1G01260	2.86	4.4	3.31	3.29	5.76	7
AT1G01270	0	0	0	0	0	0
AT1G01280	3.99	6.07	0	0	8.27	9.33
AT1G01290	4.1	6.82	4.96	3.41	8.02	11.61
AT1G01300	47.29	74.47	17.23	11.59	86.17	81.77
AT1G01305	0.24	1.2	0	0	0	0.31
AT1G01310	22.74	31.95	0.17	0.53	9.46	12.16
AT1G01320	16.68	21.4	24.28	24.97	24	25.1
AT1G01335	0	0	0	0	0	0
AT1G01340	0.62	0.35	0.72	2.14	0.2	0.32
AT1G01350	7.39	14	8.62	6	14.61	17.26
AT1G01355	0.37	1.29	0.44	0.23	0.29	0.36
AT1G01360	7.69	15.43	14.85	12.01	26.43	26.45
AT1G01370	4.62	10.98	0.71	0.7	15.65	13.08
AT1G01380	0.81	0	0	0.99	0.4	0.18
AT1G01390	0	0	1.77	0.18	0.17	0.09
AT1G01400	0.23	0.71	0	0	0.65	1.07
AT1G01410	0	0	0	0	0	0
AT1G01420	0.08	0.09	1.35	1.24	0.17	0.17
AT1G01430	10.61	11.75	29.99	15.62	12.44	18.2
AT1G01440	2.81	3.2	5.83	4.29	3.7	4.85
AT1G01448	4.45	4.15	5.53	3.92	5.1	6.31
AT1G01450	0.32	0.83	0.8	0.36	0.18	0.48
AT1G01453	0	0	0	0	0	0
AT1G01460	3.3	4.89	0	0	0.72	1.33
AT1G01470	3.97	7.61	77.92	98.18	8.26	11.13
AT1G01480	0.07	0.06	0.08	0.71	0.12	0.13
AT1G01490	16.27	25.67	41.92	35.53	47.21	52.2
AT1G01500	15.19	16.43	11.66	12.45	13.75	14.98
AT1G01510	10.03	15.63	7.14	5.66	19.34	19.01
AT1G01520	0.19	0.09	0.12	0.25	0.23	0.06
AT1G01530	0	0	0	0.69	0	0.12
AT1G01540	12.61	17.4	21.57	14.41	20.02	26.85
AT1G01550	34.35	54.6	96.65	96.88	73.51	76.13
AT1G01560	0.08	1.24	0.2	6.31	1.09	0.75
AT1G01570	1.24	2.62	0.49	1.05	2.15	3.25
AT1G01580	0.28	0.44	0.64	0.49	0.49	1
AT1G01590	0.6	1.32	0.23	0.12	1.49	1.89
AT1G01600	22.42	27.87	0	0.07	22.81	48.96
AT1G01610	50.46	55.02	21.67	28.7	51.14	66.5
AT1G01620	220.14	336.49	223.22	236.64	445.4	567.98
AT1G01630	15.7	28.87	22.8	23.04	29.47	38.73
AT1G01640	1.3	2.65	1.7	1.2	1.97	2.81
AT1G01650	14.19	16.83	10.46	10.91	19.94	22.69
AT1G01660	0.67	0.51	0.15	0.16	0.95	0.62
AT1G01670	1.11	1.14	1.58	1.65	1.09	2.18
AT1G01680	0	0	0.27	8.66	0.27	0.29
AT1G01690	3.43	4.5	0.35	0.88	4.12	5.33
AT1G01695	0	0.4	0	0	0.06	0
AT1G01700	1.78	1.57	0.96	0.87	1.72	1.92
AT1G01710	7.1	12.55	13.37	8.93	15.27	15.91
AT1G01715	2.3	3.43	0.55	0.59	5.72	4.92
AT1G01720	11.55	14.28	15.09	24.09	21.08	25.73
AT1G01725	17.38	22.39	14.57	12.34	30.57	39.74
AT1G01730	15.76	24.17	15.54	14.63	33.2	32.42
AT1G01740	0.95	1	1.56	1.4	1.49	1.35
AT1G01750	0.59	1.14	0	0	0.8	0.87
AT1G01760	1.38	1.12	1.88	1.33	2.23	2.05
AT1G01770	4.55	6.33	7.95	5.82	5.45	6.66
AT1G01780	19.97	32.37	3.11	1.28	17.13	25.35
AT1G01790	8.28	11.28	24.94	11.22	10.31	11.11
AT1G01800	28.36	38.32	41.29	35.21	51.4	59.28
AT1G01810	0.66	2.24	0.26	1.09	2.1	4.1
AT1G01820	22.89	36.09	49.07	37.63	43.03	51.14
AT1G01830	9.82	12.77	6.67	4.73	12.62	15.67
AT1G01840	2.95	4.46	2.87	1.14	9.1	7.75
AT1G01860	4.38	5.7	10.67	7.44	6.81	7.98
AT1G01870	0	5	0	0	3.47	0
AT1G01880	2.1	3.46	0.67	0.7	2.59	3.77
AT1G01890	0	0	0	0	0	0
AT1G01900	1.27	2.33	0.09	0.7	1.26	2.51
AT1G01910	17.77	24.89	27.18	22.96	26.99	32.93
AT1G01920	5.41	10.52	2.97	2.59	9.87	10.83
AT1G01930	4.08	4	4.19	2.96	5.24	6.95
AT1G01940	10.35	16.69	6.14	6.5	25.21	22.86
AT1G01950	3.69	3.83	2.4	1.64	4.79	5.52
AT1G01960	8.68	11.52	8.01	7.51	11.58	11.13
AT1G01970	7.42	8.57	11.02	11.09	12.02	11.72
AT1G01980	5.55	13.71	0.48	0.08	2.26	1.69
AT1G01990	10.63	14.26	18.72	13.56	16.85	21.32
AT1G02000	20.13	25.03	5.54	4.47	9.58	12.71
AT1G02010	4.44	4.38	1.78	1.13	3.34	6.25
AT1G02020	5.51	5.44	7.57	5.76	5.5	4.71
AT1G02030	0.06	0.18	0.14	0.15	0.33	0.27
AT1G02040	3.31	3.45	0	0	1.53	5.44
AT1G02050	9.06	12.16	1.22	1.18	22.06	16.49
AT1G02060	0.6	1.57	1.31	1.1	2.44	1.57
AT1G02065	11.74	17.01	0	0	21.38	23.37
AT1G02067	9.27	15.34	0	0	8.8	9.56
AT1G02070	3.33	8.97	0	0.66	11.91	12.28
AT1G02080	5.8	7.9	4.14	4.16	8.26	7.76
AT1G02090	15.69	26.41	11.11	9.31	31.49	38.58
AT1G02100	11.68	14.01	16.8	11.25	19.72	19.66
AT1G02110	8.15	11.74	4.52	2.54	9.6	9.97
AT1G02120	6.71	11.11	20.92	15.54	10.96	12.64
AT1G02130	28.46	41.41	32.4	30.2	57.16	62.35
AT1G02136	0	0	0	0	0	0
AT1G02140	63.23	110.9	69.73	76.23	157.23	186.76
AT1G02145	4.53	8.17	5.64	5.79	8.21	10.55
AT1G02150	23	30.49	50.42	35.62	38.87	41.92
AT1G02160	45.41	77.67	47.69	48.12	112.73	118.4
AT1G02170	12.2	14.05	20.02	15.6	9.27	11.74
AT1G02180	9.76	16.37	2.46	1.31	21.36	22.46
AT1G02190	58.76	55.27	0	0.08	56.12	71.6
AT1G02205	178.21	158.5	11.68	32.21	137.76	184.38
AT1G02210	0	0	0	0	0	0
AT1G02220	0.08	0.08	0.79	3.64	0.39	0.37
AT1G02228	0	0	0	0	0	0
AT1G02230	0	0	0	1.04	0.29	0.18
AT1G02250	0	0	0	0	0	0.07
AT1G02260	4.76	4.12	3.35	2.81	4.06	6.03
AT1G02270	4.51	4.44	15.76	13.48	8.41	9.22
AT1G02280	44.41	71.22	37.15	39.22	90.29	100.4
AT1G02290	3.93	6.73	2.73	1.58	6.41	6.59
AT1G02300	5.78	8.86	19.51	12.61	9.88	11.28
AT1G02305	37.5	48.39	79.38	64.56	56.37	74.81
AT1G02310	0.09	0	0	0	0.45	0.54
AT1G02320	0	0	0	0	0	0
AT1G02330	12.79	19.3	13.19	11.72	31.3	28.59
AT1G02335	0.8	2.22	0.65	1.04	1.73	2.34
AT1G02340	2.16	5.06	1.81	2.64	6.83	11.65
AT1G02350	3.96	2.31	0.86	1.82	5.71	6.12
AT1G02360	0	0	8.29	8.33	0.28	0.24
AT1G02370	3.22	5.16	1.71	2.06	5.46	5.65
AT1G02380	1.65	1.82	1.32	4.07	3.32	3.94
AT1G02390	0.24	0.5	2.46	1.42	0.29	0.12
AT1G02400	0.09	1.31	3.11	10.96	0.73	0.73
AT1G02405	0	0.38	0.44	0.47	0.3	0.37
AT1G02410	10.15	18.42	13	11.68	23.26	28.57
AT1G02420	0.18	0.81	0.44	1.39	0.33	0.77
AT1G02430	0.37	0	0	0.25	0	0.43
AT1G02440	0	0	0	1.1	0.55	0.41
AT1G02450	3.76	8.52	0	7.8	5.92	9.77
AT1G02460	0.18	0.37	0.59	0.39	0.49	0.24
AT1G02470	3.74	7.45	4.54	2.71	6.54	8.47
AT1G02475	15.71	20.67	57.06	44.76	21.79	31.09
AT1G02480	0	0	0	0	0	0
AT1G02490	0	1.26	0	0	1.96	0.85
AT1G02500	104.35	151.08	121.29	109.31	176.38	213.08
AT1G02510	1.21	0.88	0	0	0.88	1.95
AT1G02520	0.72	1.1	0.07	0.11	1.69	1.95
AT1G02530	0.17	0.41	0	0	0.29	0.16
AT1G02540	0	0	0	0.2	0.25	0
AT1G02550	0	0	0	0	0.15	0
AT1G02560	82.74	105.93	265.79	199.81	131.35	153.92
AT1G02570	0	0	0	0	0	0
AT1G02575	0	0	0	0	0	0.08
AT1G02580	0.16	0.05	0	0	0.13	0.11
AT1G02590	0	0	0	0	0	0
AT1G02600	0	0	0	0	0	0
AT1G02610	7.67	15.78	52.22	36.1	22.2	28.06
AT1G02620	0	0.67	5.24	4.1	1.3	0.99
AT1G02630	0.83	0.95	0	0	0.74	0.43
AT1G02640	13.25	23.86	7.33	2.28	40.95	38.6
AT1G02650	0.66	1	0.94	0.9	0.73	0.79
AT1G02660	7.66	9.07	8.44	7.24	11.29	12.12
AT1G02670	0.79	1.64	0.13	0	1.52	1.97
AT1G02680	13.67	21.11	14.52	11.77	28.81	30.85
AT1G02681	0.24	0.24	0	0	0.56	0.47
AT1G02690	5.88	11	0.8	0.3	12.22	13
AT1G02700	0.09	0	0.35	0	0.23	0.25
AT1G02705	1.57	0.69	0.95	1.81	0	0
AT1G02710	0	0.77	1.93	0	1.02	0.44
AT1G02720	5.61	8.27	3.66	3.12	8.98	9.15
AT1G02730	5.5	10.33	0.27	0.16	10.66	10.43
AT1G02740	3.36	5.8	5.69	4.13	5.12	5.43
AT1G02750	7.94	10.35	10.41	9.73	14.13	16.28
AT1G02760	0	0	0	0	0	0
AT1G02770	0.63	0.54	0	0.27	0.85	1.76
AT1G02780	492.67	732.06	194.71	417.15	884.15	849.41
AT1G02790	242.59	303.67	3.14	1.17	122.97	224.74
AT1G02800	9.1	21.95	0.09	0.09	27.15	29.54
AT1G02810	1.66	2.06	0	0.08	1.75	2.15
AT1G02813	24.62	30.47	0	0	54.63	75.26
AT1G02816	7.89	13.21	7.8	5.99	14.87	22.38
AT1G02820	0.51	1.04	3.02	4.27	1.08	1.12
AT1G02830	0	0	0	0	0	0
AT1G02840	31.17	44.79	19.76	18.96	60.6	64.83
