sRNA 	class 	col0_fb1_sRNA 	col0_fb2_sRNA 	d234_fb1_sRNA 	d234_fb2_sRNA
AT3G03380 	miR3434-5p 	2 	6.6448213132 	5.11326314059 	15.9377475515 	15.9477398386
AT1G53230 	miR319 	2 	3478.16753346 	3145.11726748 	4170.35268071 	4436.98328207
AT3G57230 	miR824-5p 	2 	11.7039466312 	11.5593673842 	38.2702703553 	40.9752147677
AT1G29300 	miR8165 	1 	2.34078932624 	3.71680916677 	1.08219273498 	0.465627440542
AT4G32340 	miR160c-3p 	2 	2.71833599176 	2.0356118664 	10.1332592458 	7.33363218855
AT1G30210 	miR319 	2 	3478.16753346 	3145.11726748 	4170.35268071 	4436.98328207
AT1G56280 	miR5028 	2 	3.58669332247 	2.544514833 	7.28020567171 	8.67231108011
AT1G27360 	miR156/157 	2 	696.717694867 	880.622224095 	1423.478696 	1375.81614443
AT1G48410 	miR168 	2 	290.182367121 	294.000513847 	944.360733011 	1038.15518098
AT2G34710 	miR165/166 	2 	2627.06534386 	3826.16514425 	9881.71502232 	9309.80548918
AT3G47370 	miR867 	2 	8.00398930908 	7.63354449899 	56.4953798241 	52.1793750558
AT1G30490 	miR165/166 	2 	2627.06534386 	3826.16514425 	9881.71502232 	9309.80548918
AT1G62590 	miR161.2 	2 	6.89400211245 	5.14915488135 	21.5848260051 	17.9594620306
AT3G48610 	miR165/166 	2 	2627.06534386 	3826.16514425 	9881.71502232 	9309.80548918
AT1G02860 	miR827 	2 	0.830602664151 	0.0363502118999 	0.737858682944 	0.698441160814
AT3G10350 	miR408-3p 	1 	36.0179518909 	79.7038979593 	331.888835588 	661.016355281
AT2G31070 	miR319 	2 	3478.16753346 	3145.11726748 	4170.35268071 	4436.98328207
AT1G69770 	miR823 	2 	2.34078932624 	2.8716667401 	6.099631779 	7.45003904867
AT4G22840 	miR1886.2 	1 	1.88773332761 	1.7448101712 	8.26401724897 	8.84692137031
AT5G06390 	miR170-5p 	1 	24.4272692594 	27.3717095607 	109.842562601 	116.057639555
AT4G18390 	miR319 	2 	3478.16753346 	3145.11726748 	4170.35268071 	4436.98328207
AT2G28350 	miR160 	2 	19.5921549628 	24.0347601083 	48.8265685793 	41.8987091915
AT5G57735 	miR390 	2 	21.5503636681 	26.4484141784 	149.054012699 	132.19163037
AT1G52150 	miR165/166 	2 	2627.06534386 	3826.16514425 	9881.71502232 	9309.80548918
AT1G31290 	miR403 	2 	256.303846335 	306.807905173 	969.939834019 	926.210583813
AT2G23350 	miR156f-3p 	2 	2.11426132692 	2.8353165282 	8.46077956442 	15.5985192582
AT3G15030 	miR319 	1 	3478.16753346 	3145.11726748 	4170.35268071 	4436.98328207
AT5G43270 	miR156/157 	2 	696.717694867 	880.622224095 	1423.478696 	1375.81614443
