sRNA 	class 	col0_fb1_sRNA 	col0_fb2_sRNA 	d234_fb1_sRNA 	d234_fb2_sRNA
AT4G29490 	TAS1B-3'D3[+] 	1 	3.54893865592 	3.63502118999 	0.0983811577259 	0
AT2G39681 	TAS2-3'D6[-] 	2 	17.1406186147 	16.3212451431 	0.0983811577259 	0.349220580407
AT2G07708 	TAS1C-3'D1[+] 	2 	5.13463465111 	3.63502119 	0.787049261807 	0.931254881085
AT4G36230 	TAS3A-5'D1[+] 	1 	1.35916799588 	2.3264135616 	0.885430419533 	0.465627440544
AT2G39675 	TAS1C-3'D5[-] 	2 	12.2954364072 	11.3291493755 	0.393524630904 	0.271616006984
AT1G68600 	TAS2-3'D1[+] 	2 	21.2432923801 	19.5806474768 	2.06600431224 	1.51328918176
AT5G18040 	tasiR-HTT 	2 	30.7322985735 	24.9944057024 	0.885430419533 	0.931254881086
AT4G33000 	TAS1C-3'D3[-] 	2 	4.87286896301 	6.54964727142 	0.295143473178 	0.465627440543
AT1G33811 	TAS1C-3'D6[-] 	1 	0.906111997255 	2.1083122902 	0.0983811577259 	0
AT1G63130 	TAS2-3'D6[-] 	2 	17.1406186147 	16.3212451431 	0.0983811577259 	0.349220580407
AT5G09810 	TAS1C-3'D5[+] 	2 	102.315146357 	93.5290952185 	1.67247968134 	1.51328918176
AT2G14255 	TAS1C-3'D8[+] 	2 	15.0263572879 	11.0868146295 	1.27895505044 	0.698441160815
AT2G33860 	tasiR-ARF 	2 	57.5934853366 	70.8223295185 	4.67310499197 	4.01603667468
